TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Phoenix Suns,11,203,17.0,1.39,282,107,165,64.8,70.6,16.3,7.9,14.3,5.4,63.5,100.0
Boston Celtics,12,249,19.4,1.07,267,99,194,51.0,57.7,11.2,11.6,10.4,0.8,50.2,60.0
Los Angeles Lakers,12,239,17.9,1.04,249,90,170,52.9,58.2,14.6,15.1,13.8,1.7,49.8,40.0
Golden State Warriors,13,245,16.2,1.02,249,94,194,48.5,55.9,9.4,12.7,8.2,1.6,45.3,26.7
Denver Nuggets,11,194,16.2,1.19,230,86,161,53.4,60.6,11.9,7.7,10.3,2.6,53.6,93.3
New York Knicks,11,195,16.5,1.06,206,75,141,53.2,59.2,15.4,16.9,15.4,4.6,48.2,46.7
Miami Heat,11,140,11.7,1.16,163,62,114,54.4,61.4,13.6,7.9,13.6,3.6,53.6,86.7
Sacramento Kings,7,182,21.4,0.89,161,60,140,42.9,48.9,9.3,14.3,8.8,0.5,41.2,0.0
Philadelphia 76ers,10,154,14.9,0.95,146,54,123,43.9,49.2,10.4,11.0,9.7,1.9,43.5,6.7
Memphis Grizzlies,6,131,18.7,1.08,142,58,114,50.9,56.6,8.4,6.9,6.1,2.3,49.6,66.7
LA Clippers,5,103,18.1,1.09,112,39,81,48.1,54.9,14.6,10.7,11.7,3.9,48.5,73.3
Atlanta Hawks,6,97,14.0,1.07,104,42,87,48.3,54.0,7.2,6.2,6.2,3.1,47.4,53.3
Milwaukee Bucks,5,91,15.7,0.99,90,33,73,45.2,53.4,11.0,9.9,11.0,1.1,46.2,13.3
Minnesota Timberwolves,5,80,15.1,1.01,81,31,67,46.3,52.2,8.8,6.3,8.8,0.0,47.5,20.0
Cleveland Cavaliers,5,77,15.1,1.04,80,29,61,47.5,52.5,14.3,7.8,13.0,1.3,49.4,33.3
Brooklyn Nets,4,65,16.8,1.09,71,26,54,48.1,60.2,6.2,10.8,6.2,0.0,44.6,80.0
