TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Golden State Warriors,13,173,11.5,1.4,242,104,143,72.7,72.7,16.2,4.6,16.2,3.5,71.1,86.7
Denver Nuggets,15,145,8.9,1.27,184,77,122,63.1,63.1,17.2,2.8,17.2,4.1,64.8,40.0
Los Angeles Lakers,16,115,6.6,1.33,153,65,96,67.7,67.7,13.9,5.2,13.9,2.6,67.0,80.0
Boston Celtics,16,96,5.6,1.48,142,64,84,76.2,76.2,13.5,5.2,13.5,6.3,74.0,93.3
Miami Heat,14,107,7.1,1.24,133,58,86,67.4,67.4,12.1,12.1,11.2,4.7,60.7,26.7
Phoenix Suns,11,81,6.8,1.15,93,37,64,57.8,57.8,21.0,3.7,19.8,3.7,61.7,13.3
Cleveland Cavaliers,5,55,10.8,1.33,73,34,44,77.3,77.3,7.3,12.7,7.3,0.0,67.3,73.3
New York Knicks,11,57,4.8,1.1,63,26,44,59.1,59.1,17.5,8.8,17.5,3.5,56.1,6.7
Minnesota Timberwolves,5,46,8.7,1.3,60,24,36,66.7,66.7,19.6,4.3,19.6,2.2,69.6,53.3
Milwaukee Bucks,5,47,8.1,1.19,56,25,39,64.1,64.1,10.6,8.5,10.6,2.1,61.7,20.0
LA Clippers,5,41,7.2,1.32,54,20,30,66.7,66.7,24.4,4.9,24.4,2.4,65.9,66.7
Sacramento Kings,7,50,5.9,1.08,54,19,37,51.4,51.4,20.0,8.0,16.0,2.0,56.0,0.0
Memphis Grizzlies,6,37,5.3,1.27,47,21,32,65.6,65.6,13.5,8.1,13.5,8.1,62.2,46.7
Philadelphia 76ers,11,34,3.0,1.26,43,19,30,63.3,63.3,8.8,5.9,8.8,2.9,61.8,33.3
Atlanta Hawks,6,29,4.2,1.31,38,18,27,66.7,66.7,6.9,0.0,6.9,0.0,69.0,60.0
Brooklyn Nets,4,21,5.4,1.57,33,14,19,73.7,73.7,28.6,0.0,28.6,19.0,76.2,100.0
