TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Golden State Warriors,13,128,8.5,0.92,118,42,108,38.9,49.5,7.8,10.2,6.3,2.3,36.7,53.3
Miami Heat,20,116,5.5,0.96,111,36,98,36.7,51.5,4.3,11.2,3.4,0.0,35.3,66.7
Denver Nuggets,17,132,7.3,0.82,108,43,114,37.7,43.9,4.5,10.6,4.5,1.5,35.6,13.3
Boston Celtics,20,50,2.4,1.32,66,24,47,51.1,63.8,8.0,0.0,6.0,2.0,54.0,93.3
New York Knicks,11,59,5.0,1.03,61,24,48,50.0,56.3,10.2,11.9,10.2,3.4,47.5,80.0
Sacramento Kings,7,67,7.9,0.87,58,21,60,35.0,45.0,6.0,4.5,4.5,0.0,37.3,26.7
Los Angeles Lakers,16,40,2.3,0.88,35,15,35,42.9,45.7,7.5,7.5,5.0,2.5,42.5,33.3
Memphis Grizzlies,6,38,5.4,0.82,31,11,28,39.3,46.4,7.9,18.4,7.9,0.0,36.8,6.7
LA Clippers,5,20,3.5,1.45,29,9,13,69.2,84.6,25.0,10.0,20.0,0.0,65.0,100.0
Philadelphia 76ers,11,33,2.9,0.88,29,10,25,40.0,44.0,9.1,15.2,6.1,0.0,39.4,40.0
Milwaukee Bucks,5,24,4.2,1.17,28,8,18,44.4,58.3,20.8,12.5,20.8,8.3,45.8,86.7
Brooklyn Nets,4,27,7.0,0.96,26,9,21,42.9,52.4,14.8,11.1,14.8,3.7,40.7,73.3
Atlanta Hawks,6,30,4.3,0.83,25,8,22,36.4,40.9,10.0,16.7,10.0,0.0,36.7,20.0
Minnesota Timberwolves,5,21,4.0,0.95,20,8,17,47.1,55.9,4.8,19.0,4.8,4.8,38.1,60.0
Cleveland Cavaliers,5,19,3.7,0.9,17,6,13,46.2,57.7,5.3,26.3,5.3,0.0,36.8,46.7
Phoenix Suns,11,20,1.7,0.55,11,4,14,28.6,32.1,5.0,25.0,5.0,0.0,25.0,0.0
