PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,MIN,1,1,0,2,0,0,0,-,-,-,-,-
AJ Green,MIL,12,11,1,69,9,4,8,50.0,1,4,25.0,56.3
AJ Griffin,ATL,27,12,15,580,79,35,79,44.3,9,27,33.3,50.0
Aaron Gordon,DEN,26,17,9,768,39,15,38,39.5,9,21,42.9,51.3
Aaron Holiday,ATL,27,16,11,481,27,12,29,41.4,3,6,50.0,46.6
Aaron Nesmith,IND,27,12,15,600,29,11,28,39.3,7,16,43.8,51.8
Aaron Wiggins,OKC,23,11,12,452,2,1,3,33.3,0,1,0.0,33.3
Admiral Schofield,ORL,21,10,11,262,0,0,2,0.0,0,2,0.0,0.0
Al Horford,BOS,22,15,7,680,9,4,5,80.0,1,1,100,90.0
Alec Burks,DET,19,5,14,401,117,49,114,43.0,19,46,41.3,51.3
Aleksej Pokusevski,OKC,28,13,15,624,11,5,18,27.8,1,5,20.0,30.6
Alex Caruso,CHI,28,11,17,715,7,3,17,17.6,1,8,12.5,20.6
Alex Len,SAC,8,6,2,25,2,1,1,100,-,-,-,100
Alize Johnson,SAS,4,1,3,30,0,0,1,0.0,0,1,0.0,0.0
Alondes Williams,BKN,1,1,0,5,0,0,0,-,-,-,-,-
Alperen Sengun,HOU,27,7,20,715,8,4,11,36.4,0,3,0.0,36.4
Amir Coffey,LAC,26,13,13,397,9,4,19,21.1,1,4,25.0,23.7
Andre Drummond,CHI,22,8,14,306,2,1,1,100,0,0,-,100
Andrew Nembhard,IND,26,13,13,666,60,24,55,43.6,12,25,48.0,54.5
Andrew Wiggins,GSW,22,13,9,722,53,24,68,35.3,5,22,22.7,39.0
Anfernee Simons,POR,29,16,13,1043,257,100,247,40.5,57,147,38.8,52.0
Anthony Davis,LAL,25,11,14,836,52,26,61,42.6,0,2,0.0,42.6
Anthony Edwards,MIN,31,16,15,1131,204,77,226,34.1,50,143,35.0,45.1
Anthony Gill,WAS,26,8,18,290,2,1,7,14.3,0,4,0.0,14.3
Anthony Lamb,GSW,23,12,11,411,3,1,4,25.0,1,2,50.0,37.5
Austin Reaves,LAL,29,13,16,855,43,20,45,44.4,3,10,30.0,47.8
Austin Rivers,MIN,21,11,10,366,6,2,9,22.2,2,6,33.3,33.3
Ayo Dosunmu,CHI,27,11,16,723,15,7,16,43.8,1,1,100,46.9
Bam Adebayo,MIA,28,15,13,979,48,24,78,30.8,0,2,0.0,30.8
Ben Simmons,BKN,21,12,9,578,2,1,7,14.3,0,1,0.0,14.3
Bennedict Mathurin,IND,31,15,16,898,85,32,103,31.1,21,63,33.3,41.3
Bismack Biyombo,PHX,25,16,9,337,2,1,1,100,-,-,-,100
Blake Griffin,BOS,14,9,5,223,0,0,3,0.0,0,3,0.0,0.0
Blake Wesley,SAS,2,2,0,23,2,1,3,33.3,0,0,-,33.3
Boban Marjanovic,HOU,10,1,9,38,2,1,2,50.0,0,0,-,50.0
Bobby Portis,MIL,30,22,8,790,57,28,68,41.2,1,4,25.0,41.9
Bogdan Bogdanovic,ATL,8,4,4,234,55,22,48,45.8,11,24,45.8,57.3
Bojan Bogdanovic,DET,31,8,23,964,169,74,168,44.0,21,61,34.4,50.3
Bol Bol,ORL,32,11,21,841,64,27,67,40.3,10,21,47.6,47.8
Bones Hyland,DEN,21,12,9,444,100,36,103,35.0,28,69,40.6,48.5
Bradley Beal,WAS,19,7,12,662,125,57,117,48.7,11,39,28.2,53.4
Brandon Boston Jr.,LAC,13,5,8,124,22,9,25,36.0,4,9,44.4,44.0
Brandon Clarke,MEM,29,19,10,568,8,4,7,57.1,0,0,-,57.1
Brandon Ingram,NOP,15,9,6,481,113,53,116,45.7,7,14,50.0,48.7
Braxton Key,DET,3,0,3,9,2,1,1,100,-,-,-,100
Brook Lopez,MIL,29,21,8,888,16,7,25,28.0,2,9,22.2,32.0
Bruce Brown,DEN,29,18,11,875,38,17,39,43.6,4,11,36.4,48.7
Bruno Fernando,HOU,13,5,8,153,2,1,1,100,0,0,-,100
Bryce McGowens,CHA,13,3,10,186,0,0,5,0.0,0,4,0.0,0.0
Bryn Forbes,MIN,17,8,9,181,20,9,26,34.6,2,10,20.0,38.5
Buddy Boeheim,DET,1,0,1,1,0,0,0,-,-,-,-,-
Buddy Hield,IND,31,15,16,990,120,47,114,41.2,26,75,34.7,52.6
CJ McCollum,NOP,26,15,11,917,211,94,227,41.4,23,70,32.9,46.5
Cade Cunningham,DET,12,3,9,400,96,44,106,41.5,8,33,24.2,45.3
Caleb Houstan,ORL,21,5,16,392,2,1,3,33.3,0,1,0.0,33.3
Caleb Martin,MIA,29,15,14,954,67,27,60,45.0,13,26,50.0,55.8
Cam Reddish,NYK,20,9,11,438,16,6,20,30.0,4,11,36.4,40.0
Cam Thomas,BKN,23,15,8,341,45,20,65,30.8,5,19,26.3,34.6
Cameron Johnson,PHX,8,6,2,202,17,7,17,41.2,3,6,50.0,50.0
Cameron Payne,PHX,26,15,11,645,118,48,115,41.7,22,48,45.8,51.3
Caris LeVert,CLE,28,18,10,870,94,37,121,30.6,20,52,38.5,38.8
Cedi Osman,CLE,31,20,11,710,37,13,30,43.3,11,20,55.0,61.7
Charles Bassey,SAS,20,5,15,297,3,1,3,33.3,1,2,50.0,50.0
Chima Moneke,SAC,2,1,1,8,0,0,0,-,-,-,-,-
Chimezie Metu,SAC,24,14,10,275,0,0,5,0.0,0,3,0.0,0.0
Chris Boucher,TOR,27,12,15,622,19,9,19,47.4,1,5,20.0,50.0
Chris Duarte,IND,10,4,6,191,31,13,30,43.3,5,13,38.5,51.7
Chris Paul,PHX,17,10,7,534,112,48,119,40.3,16,52,30.8,47.1
Christian Braun,DEN,27,17,10,382,3,1,8,12.5,1,4,25.0,18.8
Christian Koloko,TOR,30,13,17,504,0,0,0,-,0,0,-,-
Christian Wood,DAL,28,14,14,762,25,11,47,23.4,3,24,12.5,26.6
Chuma Okeke,ORL,18,5,13,392,7,3,10,30.0,1,4,25.0,35.0
Clint Capela,ATL,26,14,12,718,0,0,1,0.0,-,-,-,0.0
Coby White,CHI,21,8,13,422,31,13,33,39.4,5,17,29.4,47.0
Cody Martin,CHA,1,1,0,1,0,0,0,-,-,-,-,-
Cole Anthony,ORL,15,6,9,391,53,24,57,42.1,5,16,31.3,46.5
Cole Swider,LAL,1,0,1,2,0,0,0,-,0,0,-,-
Collin Sexton,UTA,27,15,12,661,68,29,60,48.3,10,24,41.7,56.7
Corey Kispert,WAS,23,7,16,650,10,4,14,28.6,2,6,33.3,35.7
Cory Joseph,DET,26,7,19,406,41,18,47,38.3,5,16,31.3,43.6
D'Angelo Russell,MIN,29,15,14,929,180,76,178,42.7,28,80,35.0,50.6
Daishen Nix,HOU,27,9,18,417,20,7,21,33.3,6,19,31.6,47.6
Dalano Banton,TOR,22,11,11,222,12,5,26,19.2,2,11,18.2,23.1
Dalen Terry,CHI,11,5,6,36,2,1,1,100,0,0,-,100
Damian Jones,LAL,16,5,11,158,0,0,0,-,0,0,-,-
Damian Lillard,POR,19,12,7,659,183,67,160,41.9,49,118,41.5,57.2
Damion Lee,PHX,31,19,12,667,15,7,29,24.1,1,5,20.0,25.9
Daniel Gafford,WAS,31,11,20,444,0,0,0,-,-,-,-,-
Danuel House Jr.,PHI,24,13,11,431,36,13,23,56.5,10,16,62.5,78.3
Dario Saric,PHX,15,6,9,173,5,2,6,33.3,1,2,50.0,41.7
Darius Bazley,OKC,21,7,14,355,2,1,6,16.7,0,0,-,16.7
Darius Garland,CLE,26,15,11,935,186,78,211,37.0,30,97,30.9,44.1
David Duke Jr.,BKN,14,7,7,126,0,0,1,0.0,0,0,-,0.0
David Roddy,MEM,29,19,10,559,19,8,17,47.1,3,8,37.5,55.9
Davion Mitchell,SAC,28,15,13,552,38,16,52,30.8,6,22,27.3,36.5
Davis Bertans,DAL,12,4,8,99,6,2,3,66.7,2,3,66.7,100
Davon Reed,DEN,20,11,9,218,13,5,16,31.3,3,3,100,40.6
Day'Ron Sharpe,BKN,17,9,8,152,0,0,0,-,0,0,-,-
De'Aaron Fox,SAC,26,15,11,841,201,89,223,39.9,23,76,30.3,45.1
De'Andre Hunter,ATL,26,15,11,795,98,47,102,46.1,4,14,28.6,48.0
De'Anthony Melton,PHI,26,15,11,785,63,24,69,34.8,15,48,31.3,45.7
DeAndre Jordan,DEN,24,14,10,353,0,0,0,-,0,0,-,-
DeMar DeRozan,CHI,29,11,18,1024,286,141,291,48.5,4,7,57.1,49.1
Dean Wade,CLE,17,12,5,409,3,1,5,20.0,1,1,100,30.0
Deandre Ayton,PHX,27,15,12,776,30,14,28,50.0,2,2,100,53.6
Dejounte Murray,ATL,26,14,12,927,231,105,240,43.8,21,57,36.8,48.1
Delon Wright,WAS,4,3,1,91,3,1,4,25.0,1,2,50.0,37.5
Deni Avdija,WAS,31,11,20,799,9,3,15,20.0,3,9,33.3,30.0
Dennis Schroder,LAL,16,9,7,424,37,18,39,46.2,1,4,25.0,47.4
Dennis Smith Jr.,CHA,15,4,11,419,16,8,32,25.0,0,5,0.0,25.0
Dereon Seabron,NOP,2,1,1,3,0,0,0,-,-,-,-,-
Derrick Jones Jr.,CHI,24,7,17,330,0,0,1,0.0,0,1,0.0,0.0
Derrick Rose,NYK,22,10,12,288,49,20,49,40.8,9,21,42.9,50.0
Derrick White,BOS,31,22,9,793,45,18,43,41.9,9,24,37.5,52.3
Desmond Bane,MEM,12,9,3,402,100,37,80,46.3,26,55,47.3,62.5
Devin Booker,PHX,28,18,10,997,332,145,333,43.5,42,119,35.3,49.8
Devin Vassell,SAS,24,7,17,758,143,66,157,42.0,11,41,26.8,45.5
