PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Vlatko Cancar,DEN,26,F,3,2,66.7,2.0,2.0,100.0,49.1,50.9
Jaden Springer,PHI,20,G,2,1,25.0,1.0,1.0,100.0,54.4,45.6
Payton Pritchard,BOS,25,G,2,1,20.0,2.0,2.0,100.0,56.3,43.8
Chimezie Metu,SAC,26,F-C,2,1,25.0,1.0,1.0,100.0,64.1,35.9
Furkan Korkmaz,PHI,25,G-F,2,2,66.7,4.0,4.0,100.0,64.2,35.8
Lamar Stevens,CLE,25,F,1,1,50.0,2.0,2.0,100.0,64.4,35.6
Shake Milton,PHI,26,G-F,5,2,25.0,2.0,2.0,100.0,65.8,34.2
Cam Thomas,BKN,21,G,1,1,33.3,1.0,1.0,100.0,66.5,33.5
Raul Neto,CLE,30,G,2,2,33.3,2.0,2.0,100.0,66.6,33.4
Miles McBride,NYK,22,G,4,1,25.0,1.0,1.0,100.0,67.3,32.7
Terance Mann,LAC,26,G-F,5,4,28.6,12.0,12.0,100.0,67.6,32.4
Ricky Rubio,CLE,32,G,3,1,11.1,1.0,1.0,100.0,68.7,31.3
Mo Bamba,LAL,25,C,1,1,40.0,2.0,2.0,100.0,69.0,31.1
Eric Gordon,LAC,34,G,5,5,29.8,14.0,14.0,100.0,69.1,30.9
Amir Coffey,LAC,25,G-F,1,1,100.0,1.0,1.0,100.0,69.7,30.3
Blake Griffin,BOS,34,F,1,1,50.0,1.0,1.0,100.0,70.8,29.2
Joe Ingles,MIL,35,F-G,5,4,35.0,6.0,7.0,85.7,59.5,26.2
Dewayne Dedmon,PHI,33,C,1,1,66.7,2.0,2.0,100.0,74.8,25.2
Jae Crowder,MIL,32,F,3,2,40.0,7.0,8.0,87.5,62.8,24.8
Bobby Portis,MIL,28,F,5,5,34.1,12.0,14.0,85.7,63.1,22.6
Kawhi Leonard,LAC,31,F,2,1,5.9,1.0,1.0,100.0,79.7,20.3
Luke Kornet,BOS,27,C-F,3,3,62.5,4.0,5.0,80.0,60.1,19.9
Cedi Osman,CLE,28,F,5,5,29.7,9.0,11.0,81.8,62.8,19.1
Terrence Ross,PHX,32,G-F,6,3,23.1,5.0,6.0,83.3,65.5,17.8
Obi Toppin,NYK,25,F,10,6,23.5,10.0,12.0,83.3,66.2,17.1
Tyus Jones,MEM,27,G,6,5,21.4,5.0,6.0,83.3,66.6,16.7
Jaylen Nowell,MIN,23,G,4,4,46.2,5.0,6.0,83.3,67.0,16.4
Grant Williams,BOS,24,F,9,6,33.3,12.0,15.0,80.0,64.8,15.2
Dejounte Murray,ATL,26,G,5,5,36.9,19.0,24.0,79.2,64.5,14.7
Gary Payton II,GSW,30,G,12,12,33.3,19.0,24.0,79.2,64.5,14.7
Seth Curry,BKN,32,G,3,3,31.3,4.0,5.0,80.0,65.7,14.3
Khris Middleton,MIL,31,F,5,4,31.0,10.0,13.0,76.9,62.8,14.1
Isaac Okoro,CLE,22,F-G,5,3,13.9,4.0,5.0,80.0,66.0,14.0
Giannis Antetokounmpo,MIL,28,F,3,3,39.1,7.0,9.0,77.8,64.3,13.4
Jordan McLaughlin,MIN,27,G,2,2,55.6,4.0,5.0,80.0,66.6,13.4
Cameron Payne,PHX,28,G,7,5,29.8,11.0,14.0,78.6,65.2,13.3
Russell Westbrook,LAC,34,G,5,5,32.2,15.0,19.0,78.9,65.9,13.1
Danuel House Jr.,PHI,29,F-G,5,4,30.8,3.0,4.0,75.0,62.6,12.4
Immanuel Quickley,NYK,23,G,8,7,25.0,14.0,19.0,73.7,61.4,12.3
