PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
A.J. Lawson,DAL,15,5,10,7.2,3.7,0.3,50.0,2.0,43.5,0.0,0.0,0.9,100.0,0.0,0.0,0.1,100.0,61.4
AJ Green,MIL,35,27,8,9.9,4.4,0.1,50.0,3.1,43.9,1.0,38.9,0.2,60.0,0.0,0.0,0.0,0.0,60.0
AJ Griffin,ATL,72,34,38,19.5,8.9,2.1,50.0,3.2,37.6,2.9,48.9,0.7,73.3,0.0,100.0,0.3,75.0,56.0
Aaron Gordon,DEN,68,45,23,30.2,16.3,2.4,55.7,1.8,31.4,1.5,35.1,7.9,75.2,1.5,48.6,0.9,53.8,60.3
Aaron Holiday,ATL,63,32,31,13.4,3.9,1.3,41.8,1.3,43.5,1.0,38.0,0.2,42.9,0.0,0.0,0.0,25.0,50.0
Aaron Nesmith,IND,73,30,43,24.9,10.1,2.2,44.6,4.0,35.5,1.3,43.5,0.8,59.1,0.0,0.0,0.3,78.6,52.5
Aaron Wiggins,OKC,70,37,33,18.5,6.8,1.3,44.8,1.9,38.5,0.2,35.3,1.9,65.9,0.0,50.0,0.2,37.5,57.9
Admiral Schofield,ORL,37,14,23,12.2,4.2,0.7,47.6,1.9,33.8,0.1,14.3,0.9,68.2,0.0,0.0,0.3,75.0,54.9
Al Horford,BOS,63,44,19,30.5,9.8,0.6,60.0,6.9,43.6,0.3,40.0,1.5,54.9,0.3,50.0,0.3,45.0,62.7
Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,1.0,32.5,3.4,37.4,0.3,27.8,2.2,54.5,0.0,0.0,1.0,66.7,51.0
Alex Caruso,CHI,66,32,34,23.5,5.6,0.8,43.6,2.5,38.5,0.2,20.7,0.8,60.5,0.0,0.0,0.2,46.2,55.5
Alex Len,SAC,26,15,11,6.2,1.7,0.1,50.0,0.0,0.0,0.1,100.0,1.2,68.4,0.0,0.0,0.4,44.4,53.3
Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alperen Sengun,HOU,75,18,57,28.9,14.8,3.0,56.7,1.0,35.9,0.4,40.5,5.3,58.7,2.3,54.1,2.6,51.0,56.5
Amir Coffey,LAC,50,26,24,12.5,3.4,1.4,40.7,0.7,32.4,0.4,28.6,0.1,50.0,0.0,0.0,0.1,0.0,42.4
