TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Golden State Warriors,22,251,10.2,1.34,337,148,212,69.8,69.8,12.4,7.2,12.4,4.0,66.9,79.3
Cleveland Cavaliers,21,211,9.1,1.33,281,117,170,68.8,68.8,17.1,7.1,16.6,5.2,67.3,65.5
Brooklyn Nets,22,209,9.0,1.31,273,127,183,69.4,69.4,9.1,6.7,9.1,3.3,64.6,55.2
New Orleans Pelicans,20,190,8.3,1.4,266,116,159,73.0,73.0,14.7,6.3,14.7,4.7,70.5,89.3
Sacramento Kings,19,182,8.5,1.45,264,106,140,75.7,75.7,17.6,7.7,16.5,2.2,73.6,96.6
Washington Wizards,21,200,8.7,1.29,258,108,173,62.4,62.4,16.0,3.5,16.0,6.0,63.5,44.8
Miami Heat,21,193,8.4,1.33,257,108,156,69.2,69.2,16.6,7.8,16.1,5.2,66.3,62.1
Denver Nuggets,20,176,8.0,1.43,252,105,152,69.1,69.1,19.3,1.7,18.8,7.4,71.0,93.1
San Antonio Spurs,21,207,8.5,1.2,249,111,173,64.2,64.2,12.6,8.2,13.0,5.3,60.4,20.7
Minnesota Timberwolves,21,176,7.4,1.33,235,100,145,69.0,69.0,15.9,5.7,14.8,4.0,68.2,69.0
Portland Trail Blazers,21,170,7.4,1.33,227,98,144,68.1,68.1,14.1,5.3,14.1,4.7,65.9,72.4
Oklahoma City Thunder,21,187,7.6,1.19,222,96,156,61.5,61.5,13.4,6.4,13.4,3.2,61.0,17.2
Utah Jazz,23,190,7.2,1.15,218,98,160,61.3,61.3,10.0,7.4,10.0,1.6,58.9,6.9
Los Angeles Lakers,19,165,7.6,1.31,216,91,138,65.9,65.9,15.2,4.2,15.8,3.6,66.1,58.6
Orlando Magic,21,142,6.1,1.49,211,83,109,76.1,76.1,20.4,7.0,17.6,4.2,73.9,100.0
Memphis Grizzlies,20,166,7.1,1.25,207,91,140,65.0,65.0,16.3,4.2,15.1,4.8,60.8,37.9
Charlotte Hornets,21,163,6.7,1.24,202,83,129,64.3,64.3,19.0,6.1,18.4,4.3,63.2,31.0
New York Knicks,21,149,6.1,1.34,199,87,132,65.9,65.9,13.4,5.4,13.4,7.4,64.4,75.9
Toronto Raptors,20,167,7.3,1.14,190,80,136,58.8,58.8,15.0,7.8,15.0,4.2,57.5,0.0
Atlanta Hawks,21,145,6.0,1.3,189,84,122,68.9,68.9,10.3,6.9,10.3,1.4,66.2,51.7
Indiana Pacers,20,143,6.2,1.29,185,73,108,67.6,67.6,23.1,7.0,23.8,6.3,67.1,48.3
Detroit Pistons,23,156,6.0,1.17,182,72,125,57.6,57.6,16.7,5.8,16.7,2.6,59.6,10.3
Phoenix Suns,20,134,6.0,1.26,169,77,120,64.2,64.2,9.7,3.7,9.7,3.0,63.4,41.4
Boston Celtics,21,115,5.1,1.4,161,67,92,72.8,72.8,13.9,7.8,13.0,1.7,70.4,89.3
Chicago Bulls,20,113,5.1,1.35,153,66,96,68.8,68.8,14.2,6.2,14.2,5.3,67.3,82.8
Houston Rockets,20,134,5.8,1.14,153,63,105,60.0,60.0,15.7,8.2,14.9,2.2,59.7,3.4
Philadelphia 76ers,21,124,5.6,1.23,152,66,100,66.0,66.0,13.7,9.7,12.9,4.0,62.1,27.6
LA Clippers,22,128,5.4,1.17,150,68,103,66.0,66.0,10.9,10.9,10.9,2.3,60.2,13.8
Milwaukee Bucks,19,110,5.1,1.25,137,58,91,63.7,63.7,14.5,5.5,12.7,2.7,64.5,34.5
Dallas Mavericks,20,95,4.5,1.21,115,48,76,63.2,63.2,18.9,5.3,17.9,4.2,63.2,24.1
