Name,On,Off,On-Off,MinutesOn,MinutesOff,Team,Year,Season
Saddiq Bey,0.327,0.300,0.027,142,98,ATL,2024,2023-24
Clint Capela,0.329,0.301,0.028,123,117,ATL,2024,2023-24
Bogdan Bogdanovic,0.317,0.315,0.002,120,120,ATL,2024,2023-24
Jalen Johnson,0.333,0.288,0.045,142,98,ATL,2024,2023-24
Trae Young,0.317,0.311,0.006,174,66,ATL,2024,2023-24
AJ Griffin,0.247,0.332,-0.084,45,195,ATL,2024,2023-24
Onyeka Okongwu,0.302,0.328,-0.025,114,126,ATL,2024,2023-24
De'Andre Hunter,0.318,0.311,0.007,150,90,ATL,2024,2023-24
Dejounte Murray,0.318,0.310,0.009,171,69,ATL,2024,2023-24
Trent Forrest,0.000,0.319,-0.319,5,235,ATL,2024,2023-24
Bruno Fernando,0.143,0.318,-0.176,6,234,ATL,2024,2023-24
Kobe Bufkin,0.167,0.318,-0.151,4,236,ATL,2024,2023-24
Mouhamed Gueye,0.167,0.318,-0.151,4,236,ATL,2024,2023-24
Mikal Bridges,0.297,0.273,0.024,139,53,BKN,2024,2023-24
Cameron Johnson,0.189,0.307,-0.119,26,166,BKN,2024,2023-24
Nic Claxton,0.136,0.319,-0.184,28,164,BKN,2024,2023-24
Spencer Dinwiddie,0.257,0.312,-0.056,77,115,BKN,2024,2023-24
Ben Simmons,0.297,0.276,0.021,125,67,BKN,2024,2023-24
Cam Thomas,0.331,0.196,0.134,131,61,BKN,2024,2023-24
Dorian Finney-Smith,0.325,0.230,0.095,121,71,BKN,2024,2023-24
Royce O'Neale,0.309,0.256,0.053,127,65,BKN,2024,2023-24
Dennis Smith Jr.,0.250,0.299,-0.049,38,154,BKN,2024,2023-24
Lonnie Walker IV,0.353,0.254,0.099,75,117,BKN,2024,2023-24
Day'Ron Sharpe,0.222,0.307,-0.084,38,154,BKN,2024,2023-24
Trendon Watford,0.167,0.299,-0.132,14,178,BKN,2024,2023-24
Armoni Brooks,0.138,0.303,-0.165,16,176,BKN,2024,2023-24
Jalen Wilson,0.222,0.292,-0.070,6,186,BKN,2024,2023-24
Jaylen Brown,0.255,0.225,0.030,129,63,BOS,2024,2023-24
Jayson Tatum,0.235,0.273,-0.038,134,58,BOS,2024,2023-24
Kristaps Porzingis,0.256,0.227,0.030,119,73,BOS,2024,2023-24
Jrue Holiday,0.256,0.224,0.032,123,69,BOS,2024,2023-24
Derrick White,0.236,0.263,-0.026,119,73,BOS,2024,2023-24
Al Horford,0.234,0.253,-0.019,77,115,BOS,2024,2023-24
Sam Hauser,0.230,0.254,-0.024,69,123,BOS,2024,2023-24
Payton Pritchard,0.206,0.267,-0.061,75,117,BOS,2024,2023-24
Luke Kornet,0.233,0.248,-0.015,25,167,BOS,2024,2023-24
Oshae Brissett,0.244,0.247,-0.003,44,148,BOS,2024,2023-24
Dalano Banton,0.355,0.236,0.119,18,174,BOS,2024,2023-24
Lamar Stevens,0.364,0.239,0.125,12,180,BOS,2024,2023-24
Svi Mykhailiuk,0.300,0.241,0.059,16,176,BOS,2024,2023-24
Gordon Hayward,0.370,0.421,-0.051,129,63,CHA,2024,2023-24
Nick Smith Jr.,0.000,0.386,-0.386,1,191,CHA,2024,2023-24
P.J. Washington,0.351,0.464,-0.112,131,61,CHA,2024,2023-24
Mark Williams,0.335,0.445,-0.110,99,93,CHA,2024,2023-24
Terry Rozier,0.374,0.432,-0.058,148,44,CHA,2024,2023-24
LaMelo Ball,0.344,0.453,-0.108,119,73,CHA,2024,2023-24
Brandon Miller,0.454,0.290,0.164,118,74,CHA,2024,2023-24
JT Thor,0.440,0.351,0.089,77,115,CHA,2024,2023-24
Nick Richards,0.455,0.349,0.106,66,126,CHA,2024,2023-24
Theo Maledon,0.422,0.366,0.056,72,120,CHA,2024,2023-24
DeMar DeRozan,0.339,0.258,0.081,174,71,CHI,2024,2023-24
Patrick Williams,0.321,0.312,0.009,112,133,CHI,2024,2023-24
