Player,Pos,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Team,Guaranteed
Cam Spencer,SG,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEM,0.0
Enrique Freeman,PF,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,IND,0.0
Quenton Jackson,G,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,IND,0.0
Trentyn Flowers,F,19.0,0.0,0.0,0.0,0.0,0.0,,,LAC,0.0
Kai Jones,PF,24.0,0.0,0.0,0.0,0.0,0.0,,,LAC,0.0
Jordan Miller,SF,25.0,0.0,0.0,0.0,0.0,0.0,,,LAC,0.0
Jordan Goodwin,PG,26.0,0.0,0.0,0.0,0.0,0.0,,,LAL,0.0
RayJ Dennis,PG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,IND,0.0
Trey Jemison,PF,25.0,0.0,0.0,0.0,0.0,0.0,,,LAL,0.0
Yuki Kawamura,G,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEM,0.0
Zyon Pullin,PG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEM,0.0
Jaylen Martin,F,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,WAS,0.0
Josh Christopher,SG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIA,0.0
Dru Smith,SG,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIA,0.0
Isaiah Stevens,PG,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIA,0.0
Christian Koloko,C,24.0,0.0,0.0,0.0,0.0,0.0,,,LAL,0.0
Jeenathan Williams,SG,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,0.0
Jack McVeigh,F,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,0.0
N'Faly Dante,PF,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,0.0
Adama Sanogo,PF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHI,0.0
Emoni Bates,SG,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,0.0
JT Thor,PF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,0.0
Luke Travers,SG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,0.0
Kessler Edwards,SF,24.0,0.0,0.0,0.0,0.0,0.0,,,DAL,0.0
Kylor Kelley,C,27.0,0.0,0.0,0.0,0.0,0.0,,,DAL,0.0
Brandon Williams,PG,25.0,0.0,0.0,0.0,0.0,0.0,,,DAL,0.0
Trey Alexander,SG,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,DEN,0.0
P.J. Hall,PF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,DEN,0.0
Spencer Jones,SF,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,DEN,0.0
JRon Harper Jr.,SG,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,0.0
Daniss Jenkins,G,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,0.0
Tolu Smith III,F,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,0.0
Jackson Rowe,F,28.0,0.0,0.0,0.0,0.0,0.0,,,GSW,0.0
Pat Spencer,G,28.0,0.0,0.0,0.0,0.0,0.0,,,GSW,0.0
Liam Robbins,C,25.0,0.0,0.0,0.0,0.0,0.0,,,MIL,0.0
Ryan Rollins,SG,22.0,0.0,0.0,0.0,0.0,0.0,,,MIL,0.0
Stanley Umude,G,25.0,0.0,0.0,0.0,0.0,0.0,,,MIL,0.0
Jaylen Clark,SG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIN,0.0
Bryce McGowens,SG,22.0,0.0,0.0,0.0,0.0,0.0,,,POR,0.0
Justin Minaya,F,25.0,0.0,0.0,0.0,0.0,0.0,,,POR,0.0
Isaiah Crawford,G,23.0,0.0,0.0,0.0,0.0,0.0,,,SAC,0.0
Mason Jones,SG,26.0,0.0,0.0,0.0,0.0,0.0,,,SAC,0.0
Isaac Jones,C,24.0,0.0,0.0,0.0,0.0,0.0,,,SAC,0.0
JDavid Duke Jr.,SG,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,SAS,0.0
Harrison Ingram,SF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,SAS,0.0
Riley Minix,SF,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,SAS,0.0
Ulrich Chomche,PF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,0.0
A.J. Lawson,F,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,0.0
Orlando Robinson,C,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,0.0
Elijah Harkless,PG,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,UTA,0.0
Micah Potter,C,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,UTA,0.0
Oscar Tshiebwe,PF,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,UTA,0.0
Justin Champagnie,SF,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,WAS,0.0
JTyTy Washington Jr.,PG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX,0.0
Emanuel Miller,SF,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHI,0.0
Collin Gillespie,PG,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX,0.0
Jeff Dowtin,PG,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,PHI,0.0
Jesse Edwards,C,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIN,0.0
Tristen Newton,PG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,MIN,0.0
Jr Brandon Boston Jr,SG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,NOP,0.0
