Team,GP,POSS,FREQ%,PPP,Points,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE,year,playtype,full_name
OKC,19,249,12.1,0.94,234.0,79,193,40.9,44.6,14.5,8.8,11.6,0.8,45.4,60.0,2014,iso,Oklahoma City Thunder
MIA,20,205,11.0,0.98,201.0,78,174,44.8,46.6,12.2,4.9,11.7,2.0,48.3,66.7,2014,iso,Miami Heat
IND,19,210,11.3,0.84,177.0,66,163,40.5,43.9,11.4,11.0,9.0,0.5,41.9,26.7,2014,iso,Indiana Pacers
LAC,13,136,9.6,0.93,126.0,44,109,40.4,46.8,13.2,10.3,11.8,3.7,41.2,53.3,2014,iso,Los Angeles Clippers
BKN,12,149,12.7,0.85,126.0,50,119,42.0,43.7,11.4,11.4,9.4,2.7,41.6,33.3,2014,iso,Brooklyn Nets
SAS,23,159,6.7,0.79,126.0,44,124,35.5,38.3,13.8,10.1,13.8,1.9,39.6,13.3,2014,iso,San Antonio Spurs
POR,11,112,9.1,1.02,114.0,43,93,46.2,49.5,13.4,7.1,11.6,3.6,48.2,80.0,2014,iso,Portland Trail Blazers
HOU,6,75,10.6,1.15,86.0,32,64,50.0,54.7,13.3,4.0,10.7,2.7,53.3,100.0,2014,iso,Houston Rockets
WAS,11,82,7.3,1.0,82.0,30,63,47.6,48.4,18.3,7.3,15.9,3.7,51.2,73.3,2014,iso,Washington Wizards
ATL,7,73,10.2,1.11,81.0,28,59,47.5,53.4,15.1,6.8,13.7,2.7,50.7,93.3,2014,iso,Atlanta Hawks
TOR,7,101,14.4,0.8,81.0,30,87,34.5,37.4,10.9,5.0,11.9,3.0,37.6,20.0,2014,iso,Toronto Raptors
GSW,7,67,8.5,0.91,61.0,21,51,41.2,44.1,16.4,7.5,16.4,0.0,47.8,46.7,2014,iso,Golden State Warriors
CHA,4,43,10.8,1.02,44.0,13,28,46.4,51.8,23.3,11.6,20.9,0.0,53.5,86.7,2014,iso,Charlotte Bobcats
DAL,7,41,5.6,0.88,36.0,14,34,41.2,45.6,7.3,9.8,4.9,0.0,41.5,40.0,2014,iso,Dallas Mavericks
MEM,7,62,8.0,0.58,36.0,13,49,26.5,27.6,12.9,9.7,11.3,1.6,30.6,0.0,2014,iso,Memphis Grizzlies
CHI,5,38,7.5,0.71,27.0,10,27,37.0,38.9,7.9,21.1,5.3,0.0,34.2,6.7,2014,iso,Chicago Bulls
SAS,23,207,8.7,1.0,207.0,84,164,51.2,51.2,14.0,7.2,12.1,1.4,52.2,73.3,2014,post,San Antonio Spurs
IND,19,189,10.2,1.0,161.0,65,144,45.1,45.1,12.2,13.2,7.4,1.6,42.9,33.3,2014,post,Indiana Pacers
POR,11,149,12.1,1.0,143.0,56,123,45.5,45.5,12.8,8.1,11.4,3.4,47.0,60.0,2014,post,Portland Trail Blazers
LAC,13,155,10.9,1.0,142.0,59,121,48.8,48.8,14.8,11.6,12.3,4.5,46.5,46.7,2014,post,Los Angeles Clippers
MIA,20,130,7.0,1.0,133.0,50,93,53.8,53.8,16.9,13.1,14.6,1.5,53.1,80.0,2014,post,Miami Heat
HOU,6,112,15.9,1.0,101.0,41,85,48.2,48.2,12.5,12.5,7.1,0.9,46.4,40.0,2014,post,Houston Rockets
MEM,7,131,17.0,1.0,91.0,34,103,33.0,33.0,15.3,9.2,13.7,3.1,36.6,20.0,2014,post,Memphis Grizzlies
