TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
HOU,73,73,7.9,248,540,45.9,46.300000000000004,7.8,244,531,46.0,0.1,4,9,44.4
POR,74,74,8.1,227,536,42.4,42.699999999999996,7.9,223,522,42.699999999999996,0.2,4,14,28.599999999999998
DEN,75,74,7.9,245,525,46.7,47.0,7.7,242,510,47.5,0.2,3,15,20.0
TOR,73,72,7.8,235,516,45.5,45.6,7.7,234,509,46.0,0.1,1,7,14.299999999999999
DET,73,72,7.6,222,496,44.800000000000004,45.4,7.199999999999999,216,468,46.2,0.4,6,28,21.4
SAC,73,73,7.3,242,481,50.3,50.3,7.199999999999999,242,473,51.2,0.1,0,8,0.0
BKN,74,74,7.3999999999999995,210,470,44.7,45.1,7.1,206,451,45.7,0.3,4,19,21.099999999999998
ORL,74,74,7.3,211,463,45.6,45.6,7.199999999999999,211,460,45.9,0.0,0,3,0.0
SAS,73,73,7.000000000000001,221,461,47.9,48.0,6.9,220,454,48.5,0.1,1,7,14.299999999999999
CHI,73,72,6.800000000000001,212,458,46.300000000000004,46.5,6.7,210,453,46.400000000000006,0.1,2,5,40.0
WAS,73,73,7.000000000000001,204,457,44.6,45.2,6.6000000000000005,199,433,46.0,0.4,5,24,20.8
NOP,73,72,7.000000000000001,202,457,44.2,45.0,6.7,195,439,44.4,0.3,7,18,38.9
UTA,74,73,7.000000000000001,205,455,45.1,45.800000000000004,6.7,198,436,45.4,0.3,7,19,36.8
DAL,75,75,6.9,222,454,48.9,49.0,6.800000000000001,221,449,49.2,0.1,1,5,20.0
MEM,73,73,6.6000000000000005,195,452,43.1,43.3,6.6000000000000005,194,449,43.2,0.0,1,3,33.300000000000004
CHA,72,72,7.000000000000001,199,449,44.3,45.0,6.7,193,433,44.6,0.2,6,16,37.5
CLE,74,74,6.5,209,437,47.8,48.9,6.2,200,413,48.4,0.4,9,24,37.5
GSW,71,71,6.7,197,433,45.5,45.800000000000004,6.5,194,419,46.300000000000004,0.2,3,14,21.4
LAL,73,73,6.9,204,430,47.4,47.8,6.7,201,416,48.3,0.2,3,14,21.4
PHI,74,73,6.6000000000000005,194,427,45.4,45.7,6.5,192,422,45.5,0.1,2,5,40.0
ATL,72,71,6.3,196,416,47.099999999999994,47.199999999999996,6.2,195,408,47.8,0.1,1,8,12.5
BOS,72,71,6.3,195,404,48.3,48.6,6.1,192,393,48.9,0.2,3,11,27.3
NYK,72,71,6.2,176,400,44.0,44.1,6.1,175,391,44.800000000000004,0.1,1,9,11.1
MIL,72,72,6.4,187,399,46.9,47.4,6.0,183,377,48.5,0.4,4,22,18.2
LAC,72,71,6.4,198,398,49.7,50.3,6.2,194,386,50.3,0.2,4,12,33.300000000000004
OKC,73,73,5.800000000000001,179,391,45.800000000000004,45.800000000000004,5.800000000000001,179,388,46.1,0.0,0,3,0.0
MIA,73,73,6.1,171,384,44.5,45.4,5.8999999999999995,164,371,44.2,0.2,7,13,53.800000000000004
MIN,74,74,5.5,168,354,47.5,47.9,5.4,165,348,47.4,0.1,3,6,50.0
IND,73,72,5.3,161,345,46.7,47.0,5.3,159,341,46.6,0.1,2,4,50.0
PHX,74,73,5.0,136,320,42.5,43.1,4.9,132,309,42.699999999999996,0.2,4,11,36.4
