Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
AJ Hammons,DAL,22,4,18,163,48,163,126,5,1.85,0.34,0.294,10,22,25,0.7,0.091,0.64
Aaron Brooks,IND,64,36,28,870,308,1786,630,166,5.59,5.94,0.172,4,0,13,1.0,0.0,0.308
Aaron Gordon,ORL,80,29,51,2298,1019,3097,2187,124,2.4,1.6,0.329,86,91,267,0.919,0.692,1.142
Aaron Harrison,CHA,5,2,3,17,1,27,20,2,3.25,2.33,0.037,1,0,0,0.0,0.0,0.0
Adreian Payne,MIN,18,5,13,135,63,288,153,8,1.76,0.46,0.219,14,11,21,1.0,0.364,0.619
Al Horford,BOS,68,46,22,2193,952,4553,3107,146,1.92,0.83,0.209,195,511,282,0.385,0.481,0.688
Al Jefferson,IND,65,33,32,922,531,1603,1066,56,2.08,0.51,0.331,175,397,197,0.451,0.599,1.071
Al-Farouq Aminu,POR,61,33,28,1773,532,2508,1202,82,1.97,1.02,0.212,85,23,147,0.2,0.348,0.578
Alan Anderson,LAC,30,20,10,308,86,307,214,12,2.39,1.24,0.28,3,4,4,0.0,0.5,0.5
Alan Williams,PHX,47,11,36,708,346,1048,595,23,1.32,0.41,0.33,109,70,248,0.532,0.529,0.903
Alec Burks,UTA,42,26,16,653,283,964,596,55,3.43,2.98,0.294,23,0,32,0.87,0.0,0.531
Alex Abrines,OKC,68,37,31,1055,406,1262,916,35,1.67,0.79,0.322,18,2,22,0.333,0.0,0.318
Alex Len,PHX,75,20,55,1528,602,2160,1194,51,1.41,0.35,0.279,217,207,439,0.447,0.42,0.834
Alex Poythress,PHI,6,0,6,157,64,322,192,7,1.32,0.47,0.199,6,0,20,0.5,0.0,0.7
Alexis Ajinca,NOP,39,15,24,584,207,956,467,21,1.34,0.27,0.217,72,24,124,0.667,0.208,0.847
Allen Crabbe,POR,79,39,40,2254,845,2461,1842,65,1.57,0.66,0.343,47,2,50,0.766,1.0,0.58
Alonzo Gee,DEN,13,4,9,89,11,95,71,3,2.05,1.25,0.116,2,0,10,0.0,0.0,0.4
Amir Johnson,BOS,80,51,29,1608,520,2432,1589,61,1.5,0.53,0.214,110,71,342,0.345,0.296,0.933
Anderson Varejao,GSW,14,12,2,92,18,191,108,6,1.81,0.69,0.094,17,7,24,0.235,0.0,0.333
Andre Drummond,DET,81,36,45,2409,1105,3103,2122,100,1.93,0.73,0.356,235,408,894,0.396,0.596,0.906
Andre Iguodala,GSW,76,64,12,1998,574,3129,1834,145,2.79,1.83,0.183,84,53,158,0.298,0.415,0.703
Andre Roberson,OKC,79,46,33,2376,522,2617,1608,64,1.46,0.48,0.199,76,5,253,0.487,0.0,0.759
Andrew Bogut,CLE,27,8,19,583,79,972,543,27,1.69,0.47,0.081,101,36,110,0.158,0.278,0.545
Andrew Harrison,MEM,72,38,34,1474,425,3223,1241,290,5.4,5.18,0.132,24,6,27,0.417,0.333,0.593
Andrew Nicholson,BKN,38,20,18,342,100,514,288,14,1.65,0.42,0.195,18,40,47,0.444,0.35,0.809
Andrew Wiggins,MIN,82,31,51,3048,1933,4210,3325,235,3.35,2.19,0.459,124,334,266,0.532,0.647,1.034
Anthony Bennett,BKN,22,3,19,243,107,428,234,10,1.35,0.43,0.25,8,10,48,0.25,0.8,1.0
Anthony Brown,ORL,11,3,8,159,43,193,133,7,2.23,1.41,0.223,4,0,7,1.0,0.0,0.571
Anthony Davis,NOP,75,31,44,2708,2099,5545,3437,174,1.88,0.83,0.379,449,491,508,0.715,0.672,1.057
Anthony Morrow,CHI,49,25,24,714,271,629,552,19,1.77,0.79,0.431,5,9,11,1.2,1.111,0.364
Anthony Tolliver,SAC,65,26,39,1477,461,2205,1397,58,1.58,0.32,0.209,155,51,120,0.097,0.255,0.7
Archie Goodwin,BKN,15,8,7,214,110,397,191,27,4.05,3.55,0.277,3,1,8,0.0,0.0,1.0
Arinze Onuaku,ORL,8,3,5,28,4,51,33,2,2.12,0.41,0.078,5,10,5,0.4,0.2,0.0
Aron Baynes,DET,75,34,41,1163,365,1069,793,28,1.54,0.39,0.341,143,77,325,0.357,0.481,0.812
Arron Afflalo,SAC,61,23,38,1580,515,2081,1555,81,2.34,1.48,0.247,48,116,53,0.417,0.586,0.792
Austin Rivers,LAC,74,43,31,2054,889,3694,1930,261,4.24,3.88,0.241,25,7,49,0.36,0.714,0.673
Avery Bradley,BOS,55,34,21,1835,894,2736,1909,108,2.37,1.94,0.327,72,2,131,0.611,0.5,0.985
Axel Toupane,NOP,4,2,2,47,11,46,20,2,1.93,1.07,0.239,0,0,0,0.0,0.0,0.0
Ben Bentil,DAL,3,2,1,10,0,12,8,0,1.56,1.0,0.0,0,3,0,0.0,0.0,0.0
