TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Cleveland Cavaliers,7,198,25.6,1.13,223,79,162,48.8,56.8,15.2,8.1,13.6,5.1,50.0,100.0
Denver Nuggets,10,149,13.4,1.03,154,57,115,49.6,56.5,10.1,12.8,9.4,0.0,47.7,80.0
New York Knicks,8,159,18.1,0.91,144,58,134,43.3,47.4,6.9,11.9,6.9,3.1,40.3,46.7
Oklahoma City Thunder,7,133,16.0,0.98,130,49,110,44.5,50.0,9.0,9.8,8.3,1.5,44.4,66.7
Boston Celtics,7,124,16.7,1.04,129,42,85,49.4,60.6,12.1,20.2,8.9,0.8,45.2,86.7
Indiana Pacers,8,132,15.3,0.97,128,53,113,46.9,53.1,4.5,11.4,3.8,1.5,43.2,60.0
Detroit Pistons,6,136,20.5,0.9,123,48,109,44.0,48.2,8.1,13.2,7.4,1.5,41.9,40.0
Houston Rockets,7,100,13.2,1.08,108,34,71,47.9,56.3,18.0,13.0,15.0,2.0,50.0,93.3
Golden State Warriors,9,105,11.0,1.01,106,37,79,46.8,55.1,11.4,16.2,9.5,2.9,43.8,73.3
LA Clippers,7,84,11.5,0.95,80,32,62,51.6,59.7,6.0,23.8,4.8,3.6,40.5,53.3
Milwaukee Bucks,5,98,17.9,0.81,79,30,77,39.0,40.3,11.2,12.2,11.2,2.0,39.8,33.3
Memphis Grizzlies,4,102,22.2,0.72,74,29,77,37.7,40.9,5.9,18.6,4.9,0.0,34.3,20.0
Orlando Magic,5,106,20.2,0.69,73,30,88,34.1,36.9,6.6,11.3,5.7,0.9,33.0,13.3
Los Angeles Lakers,5,86,17.0,0.79,68,24,65,36.9,41.5,8.1,16.3,8.1,0.0,36.0,26.7
Miami Heat,4,60,14.5,0.62,37,11,35,31.4,37.1,10.0,31.7,10.0,0.0,28.3,6.7
Minnesota Timberwolves,7,57,7.6,0.61,35,13,40,32.5,36.3,8.8,24.6,8.8,3.5,28.1,0.0
