TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Houston Rockets,7,60,7.9,0.68,41,5,17,29.4,35.3,38.3,33.3,1.7,0.0,41.7,80.0
Minnesota Timberwolves,8,48,5.6,0.83,40,6,14,42.9,42.9,33.3,39.6,4.2,2.1,43.8,100.0
Denver Nuggets,11,83,6.8,0.47,39,4,19,21.1,26.3,25.3,51.8,2.4,0.0,26.5,33.3
Oklahoma City Thunder,8,47,5.0,0.74,35,4,8,50.0,50.0,38.3,44.7,0.0,0.0,42.6,93.3
New York Knicks,9,74,7.5,0.46,34,2,10,20.0,25.0,36.5,50.0,1.4,0.0,28.4,26.7
Cleveland Cavaliers,8,49,5.5,0.61,30,3,12,25.0,29.2,30.6,44.9,0.0,0.0,32.7,66.7
Golden State Warriors,10,87,8.2,0.34,30,2,21,9.5,14.3,16.1,59.8,1.1,0.0,18.4,6.7
Indiana Pacers,9,53,5.5,0.47,25,1,8,12.5,12.5,24.5,60.4,1.9,0.0,26.4,40.0
Detroit Pistons,6,46,6.9,0.52,24,1,7,14.3,14.3,30.4,54.3,4.3,0.0,30.4,60.0
Orlando Magic,5,27,5.2,0.74,20,4,7,57.1,57.1,29.6,44.4,7.4,0.0,44.4,86.7
Los Angeles Lakers,5,30,5.9,0.67,20,4,6,66.7,75.0,23.3,56.7,0.0,0.0,36.7,73.3
LA Clippers,7,39,5.3,0.51,20,5,10,50.0,50.0,20.5,59.0,5.1,5.1,28.2,46.7
Boston Celtics,8,37,4.4,0.51,19,2,13,15.4,15.4,24.3,40.5,0.0,0.0,29.7,53.3
Memphis Grizzlies,4,31,6.7,0.42,13,1,5,20.0,30.0,19.4,64.5,9.7,0.0,22.6,13.3
Miami Heat,4,22,5.3,0.46,10,3,5,60.0,80.0,9.1,68.2,0.0,0.0,22.7,20.0
Milwaukee Bucks,5,18,3.3,0.11,2,0,4,0.0,0.0,11.1,66.7,0.0,0.0,11.1,0.0
