TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Houston Rockets,7,60,7.9,0.68,41,5,17,29.4,35.3,38.3,33.3,1.7,0.0,41.7,80.0
Minnesota Timberwolves,7,38,5.0,0.92,35,6,13,46.2,46.2,34.2,34.2,5.3,2.6,47.4,100.0
Oklahoma City Thunder,7,40,4.8,0.75,30,4,8,50.0,50.0,37.5,42.5,0.0,0.0,42.5,93.3
Denver Nuggets,10,74,6.7,0.4,30,3,16,18.8,21.9,23.0,55.4,0.0,0.0,24.3,20.0
Golden State Warriors,9,77,8.1,0.39,30,2,21,9.5,14.3,18.2,54.5,1.3,0.0,20.8,6.7
Detroit Pistons,6,46,6.9,0.52,24,1,7,14.3,14.3,30.4,54.3,4.3,0.0,30.4,60.0
New York Knicks,8,59,6.7,0.41,24,1,8,12.5,12.5,33.9,52.5,1.7,0.0,27.1,26.7
Cleveland Cavaliers,7,38,4.9,0.6,23,3,11,27.3,31.8,26.3,44.7,0.0,0.0,28.9,66.7
Orlando Magic,5,27,5.2,0.74,20,4,7,57.1,57.1,29.6,44.4,7.4,0.0,44.4,86.7
Los Angeles Lakers,5,30,5.9,0.67,20,4,6,66.7,75.0,23.3,56.7,0.0,0.0,36.7,73.3
LA Clippers,7,39,5.3,0.51,20,5,10,50.0,50.0,20.5,59.0,5.1,5.1,28.2,53.3
Indiana Pacers,8,46,5.3,0.39,18,1,6,16.7,16.7,19.6,67.4,0.0,0.0,21.7,13.3
Boston Celtics,7,33,4.4,0.46,15,1,10,10.0,10.0,24.2,45.5,0.0,0.0,27.3,42.9
Memphis Grizzlies,4,31,6.7,0.42,13,1,5,20.0,30.0,19.4,64.5,9.7,0.0,22.6,33.3
Miami Heat,4,22,5.3,0.46,10,3,5,60.0,80.0,9.1,68.2,0.0,0.0,22.7,42.9
Milwaukee Bucks,5,18,3.3,0.11,2,0,4,0.0,0.0,11.1,66.7,0.0,0.0,11.1,0.0
