TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Dallas Mavericks,21,152,6.9,1.02,155,64,121,52.9,55.0,14.5,9.9,13.2,3.9,50.0,13.3
Indiana Pacers,17,153,8.5,1.01,154,60,130,46.2,50.8,10.5,5.9,9.2,1.3,47.7,6.7
Boston Celtics,18,113,6.1,1.11,125,43,99,43.4,54.5,9.7,5.3,8.8,2.7,45.1,46.7
Minnesota Timberwolves,16,81,4.8,1.31,106,39,63,61.9,68.3,18.5,6.2,18.5,2.5,63.0,100.0
Cleveland Cavaliers,12,93,7.6,1.09,101,39,82,47.6,53.0,15.1,1.1,14.0,4.3,49.5,33.3
Oklahoma City Thunder,10,78,7.4,1.23,96,35,64,54.7,64.8,11.5,7.7,11.5,1.3,55.1,86.7
Denver Nuggets,12,74,6.0,1.22,90,37,71,52.1,59.9,4.1,1.4,4.1,1.4,52.7,80.0
Milwaukee Bucks,6,65,10.4,1.08,70,31,57,54.4,56.1,9.2,4.6,9.2,1.5,53.8,26.7
Orlando Magic,7,55,7.2,1.14,63,24,46,52.2,64.1,7.3,12.7,7.3,3.6,47.3,53.3
New York Knicks,13,51,3.6,1.18,60,24,45,53.3,62.2,5.9,5.9,5.9,0.0,51.0,73.3
Philadelphia 76ers,6,48,7.6,1.15,55,15,37,40.5,47.3,22.9,2.1,22.9,2.1,50.0,60.0
Phoenix Suns,4,28,6.8,1.29,36,15,27,55.6,66.7,3.6,3.6,3.6,3.6,53.6,93.3
Los Angeles Lakers,5,33,6.4,1.06,35,15,28,53.6,55.4,9.1,9.1,9.1,3.0,51.5,20.0
Miami Heat,5,30,6.2,1.1,33,12,27,44.4,50.0,10.0,0.0,10.0,0.0,50.0,40.0
New Orleans Pelicans,4,23,5.3,1.17,27,10,18,55.6,58.3,17.4,8.7,13.0,4.3,56.5,66.7
LA Clippers,6,26,4.2,0.77,20,7,18,38.9,38.9,15.4,15.4,15.4,0.0,38.5,0.0
